779,VINAY KRISHNAMURTHY,0:39:07,0:03:55,83of 8179,82of 6534,30 to 34 yrs Male
786,NANDA RAMESH,1:01:57,0:06:12,2342of 8179,2177of 6534,55 to 59 yrs Male
787,ANUBHAV KARMAKAR,0:42:07,0:04:13,160of 8179,154of 6534,30 to 34 yrs Male
791,SHANKAR PUTTAPPA,0:48:39,0:04:52,535of 8179,507of 6534,40 to 44 yrs Male
793,RAVI KANT,1:15:57,0:07:36,4870of 8179,4304of 6534,35 to 39 yrs Male
794,SHRIKANT PANDIT,1:17:37,0:07:46,5150of 8179,4516of 6534,65 to 69 yrs Male
806,ASHISH VISWAKUMAR,0:48:16,0:04:50,502of 8179,476of 6534,35 to 39 yrs Male
815,KIRAN KUMAR,0:48:08,0:04:49,488of 8179,463of 6534,40 to 44 yrs Male
820,SWARUP SRIDHAR,0:55:44,0:05:35,1315of 8179,1236of 6534,40 to 44 yrs Male
826,HARISH VAIDYANATHAN,0:42:40,0:04:16,182of 8179,176of 6534,45 to 49 yrs Male
834,SRIVATSA KUMAR,1:24:07,0:08:25,6124of 8179,5259of 6534,50 to 54 yrs Male
835,JAYARAMAN SUBRAMANI,2:07:41,0:12:47,8136of 8179,6514of 6534,40 to 44 yrs Male
840,NIRAV PATEL,0:46:44,0:04:41,377of 8179,357of 6534,45 to 49 yrs Male
844,VIPUL PAUL,0:57:48,0:05:47,1598of 8179,1500of 6534,30 to 34 yrs Male
845,SURESH BABU,0:53:55,0:05:24,1091of 8179,1026of 6534,40 to 44 yrs Male
849,PAWAN DEWANI,0:57:51,0:05:48,1605of 8179,1506of 6534,30 to 34 yrs Male
852,SAMEER JOSHI,0:39:38,0:03:58,97of 8179,96of 6534,35 to 39 yrs Male
854,VINOD NIRIKHI,1:26:39,0:08:40,6425of 8179,5471of 6534,35 to 39 yrs Male
855,AJAY SIMHA,1:03:19,0:06:20,2586of 8179,2392of 6534,35 to 39 yrs Male
856,ANANTH WALIKAR,1:05:11,0:06:32,2952of 8179,2709of 6534,30 to 34 yrs Male
859,MANJUNATH RAJENDRAN,0:56:43,0:05:41,1449of 8179,1358of 6534,35 to 39 yrs Male
863,SUBRAMANYAM REDDY,0:54:52,0:05:30,1214of 8179,1142of 6534,50 to 54 yrs Male
865,LOKESH RAVINDRANATHAN,1:13:44,0:07:23,4474of 8179,3992of 6534,30 to 34 yrs Male
866,SANDEEP KUMAR,1:45:20,0:10:32,7792of 8179,6336of 6534,40 to 44 yrs Male
870,MANISH PANICKER,0:55:32,0:05:34,1296of 8179,1217of 6534,45 to 49 yrs Male
873,SUNIL CHANDRASEKHAR,0:58:28,0:05:51,1708of 8179,1601of 6534,40 to 44 yrs Male
875,SASHIKANTH BALACHANDAR,0:54:40,0:05:28,1187of 8179,1118of 6534,55 to 59 yrs Male
879,NISHCHAL RAO,0:56:30,0:05:39,1424of 8179,1337of 6534,35 to 39 yrs Male
880,PRAVEEN SRIVATSA,1:04:24,0:06:27,2801of 8179,2576of 6534,50 to 54 yrs Male
882,VIKRANT TYAGI,0:47:17,0:04:44,419of 8179,397of 6534,30 to 34 yrs Male
890,HUSSAIN AHAMAD,1:04:11,0:06:26,2762of 8179,2547of 6534,40 to 44 yrs Male
894,JEETENDRA VERMA,1:14:56,0:07:30,4693of 8179,4167of 6534,55 to 59 yrs Male
895,VIJAY MANI,1:19:54,0:08:00,5523of 8179,4803of 6534,35 to 39 yrs Male
896,ADITYA NAYAK,1:03:50,0:06:23,2688of 8179,2481of 6534,30 to 34 yrs Male
899,MAHESH RAJNIKANTH,0:48:11,0:04:50,495of 8179,470of 6534,40 to 44 yrs Male
900,THOMAS BOBBY PHILIP,0:42:17,0:04:14,166of 8179,160of 6534,55 to 59 yrs Male
911,JAI GUPTA,0:46:59,0:04:42,396of 8179,374of 6534,30 to 34 yrs Male
923,BIDDAPPA CHENANDA,0:56:35,0:05:40,1431of 8179,1343of 6534,45 to 49 yrs Male
924,GURURAJ PANDURANGI,1:01:55,0:06:12,2336of 8179,2172of 6534,40 to 44 yrs Male
927,PRIYA NARAYAN,1:05:35,0:06:34,3025of 8179,256of 1645,40 to 44 yrs Female
929,DR KUMARAN SAMPATH,0:48:52,0:04:54,555of 8179,526of 6534,45 to 49 yrs Male
930,RAJENDRAN BALASUBRAMANIYAN,1:03:29,0:06:21,2612of 8179,2416of 6534,40 to 44 yrs Male
932,NITHIN BABU S J,0:49:15,0:04:56,594of 8179,562of 6534,30 to 34 yrs Male
934,SANDEEP NARAYAN,0:58:28,0:05:51,1706of 8179,1599of 6534,45 to 49 yrs Male
935,SATISH CHAND RANA,1:01:11,0:06:08,2202of 8179,2049of 6534,50 to 54 yrs Male
941,MUKUND KAMATH,1:17:01,0:07:43,5048of 8179,4438of 6534,40 to 44 yrs Male
942,SUBRATA KABIRAJ,1:09:40,0:06:58,3752of 8179,3386of 6534,40 to 44 yrs Male
945,VARUN AVG,0:47:43,0:04:47,455of 8179,430of 6534,25 to 29 yrs Male
955,PRASHANT NAMBISAN,1:14:23,0:07:27,4585of 8179,4087of 6534,40 to 44 yrs Male
956,AMAR LINGALA,1:14:18,0:07:26,4564of 8179,4068of 6534,45 to 49 yrs Male
958,SUVOJIT HALDER,1:16:20,0:07:38,4924of 8179,4344of 6534,35 to 39 yrs Male
964,KARTHIK HARIHARAN,0:49:15,0:04:56,598of 8179,566of 6534,20 to 24 yrs Male
988,LIJU MATHEW,1:00:55,0:06:06,2151of 8179,2003of 6534,40 to 44 yrs Male
998,CHAYAN BHALLA,0:48:39,0:04:52,534of 8179,506of 6534,35 to 39 yrs Male
999,KOTHANDAPANI K C,0:46:58,0:04:42,395of 8179,373of 6534,60 to 64 yrs Male
1004,ASHISH KUMAR,0:51:23,0:05:09,812of 8179,768of 6534,40 to 44 yrs Male
1005,VIKRAM BACHUJAGANATH,0:39:27,0:03:57,88of 8179,87of 6534,35 to 39 yrs Male
1006,PRASAD THAKAR,0:48:32,0:04:52,525of 8179,498of 6534,45 to 49 yrs Male
1008,VIVEK MISRA,0:46:36,0:04:40,366of 8179,347of 6534,30 to 34 yrs Male
1010,VINEET TYAGI,0:50:15,0:05:02,704of 8179,663of 6534,50 to 54 yrs Male
1023,GEORGE JOSEPH,0:45:07,0:04:31,278of 8179,266of 6534,50 to 54 yrs Male
1024,EZHIL ILANKO,0:55:53,0:05:36,1336of 8179,1257of 6534,40 to 44 yrs Male
1029,NIPUL DESAI,1:01:44,0:06:11,2305of 8179,2141of 6534,45 to 49 yrs Male
1031,SAKTHIKUMAR CHANDRABOSE,1:42:19,0:10:14,7692of 8179,6275of 6534,30 to 34 yrs Male
1032,JAGADISH SHINDE,0:37:14,0:03:44,47of 8179,47of 6534,35 to 39 yrs Male
1034,GIRISH GODBOLE,0:59:39,0:05:58,1932of 8179,1802of 6534,50 to 54 yrs Male
1035,CHRIS AUGUSTINE,0:53:13,0:05:20,1015of 8179,958of 6534,45 to 49 yrs Male
1036,SREEDHAR SINGH,1:27:31,0:08:46,6533of 8179,5546of 6534,55 to 59 yrs Male
